Country,Date,Confirmed,Deaths,Recovered,NewCases,NewDeaths,NewRecovered,NewCases_rolling7d,NewDeaths_rolling7d,NewRecovered_rolling7d,ActiveCases,CFR,RecoveryRate,daily_growth_rate,Population,CasesPer100k,DeathsPer100k,RiskTier,Continent,Year,Month,MonthName,Quarter,YearMonth,DateKey
United States,2023-03-09,103802702,1123836,0,46931.0,590.0,0.0,30972.428571428572,316.57142857142856,0.0,102678866,1.0827,0.0,0.0452,331002651.0,31360.08,339.52,Low,North America,2023,3,March,1,2023-03,20230309
Uruguay,2023-03-09,1034303,7617,0,0.0,0.0,0.0,0.0,0.0,0.0,1026686,0.7364,0.0,0.0,,,,Low,South America,2023,3,March,1,2023-03,20230309
Uzbekistan,2023-03-09,251247,1637,0,0.0,0.0,0.0,25.142857142857142,0.0,0.0,249610,0.6516,0.0,0.0,,,,Low,Asia,2023,3,March,1,2023-03,20230309
Vanuatu,2023-03-09,12014,14,0,0.0,0.0,0.0,0.0,0.0,0.0,12000,0.1165,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Vatican City,2023-03-09,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Venezuela,2023-03-09,552162,5854,0,5.0,0.0,0.0,25.142857142857142,0.0,0.0,546308,1.0602,0.0,0.0009,,,,Low,South America,2023,3,March,1,2023-03,20230309
Vietnam,2023-03-09,11526994,43186,0,0.0,0.0,0.0,8.142857142857142,0.0,0.0,11483808,0.3747,0.0,0.0,97338579.0,11842.16,44.37,Low,Asia,2023,3,March,1,2023-03,20230309
Winter Olympics 2022,2023-03-09,535,0,0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.0,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Yemen,2023-03-09,11945,2159,0,0.0,0.0,0.0,0.0,0.0,0.0,9786,18.0745,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Zambia,2023-03-09,343135,4057,0,0.0,0.0,0.0,8.0,0.0,0.0,339078,1.1823,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Zimbabwe,2023-03-09,264276,5671,0,0.0,0.0,0.0,21.285714285714285,0.42857142857142855,0.0,258605,2.1459,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
